2017.326027
   Z       E         F
   6  1.956E+02  9.604E-04
   6  2.249E+02  6.680E-04
   6  2.585E+02  4.637E-04
   6  2.972E+02  3.207E-04
   6  3.418E+02  2.215E-04
   6  3.930E+02  1.526E-04
   6  4.518E+02  1.050E-04
   6  5.195E+02  7.215E-05
   6  5.972E+02  4.952E-05
   6  6.866E+02  3.395E-05
   6  7.895E+02  2.325E-05
   6  9.078E+02  1.591E-05
   6  1.044E+03  1.088E-05
   6  1.200E+03  7.432E-06
   6  1.380E+03  5.073E-06
   6  1.586E+03  3.464E-06
   6  1.824E+03  2.364E-06
   6  2.098E+03  1.611E-06
   6  2.411E+03  1.100E-06
   6  2.772E+03  7.495E-07
   6  3.187E+03  5.107E-07
   6  3.665E+03  3.479E-07
   6  4.213E+03  2.370E-07
   6  4.844E+03  1.614E-07
   6  5.570E+03  1.099E-07
   6  6.404E+03  7.484E-08
   6  7.363E+03  5.096E-08
   6  8.466E+03  3.469E-08
   6  9.733E+03  2.362E-08
   6  1.119E+04  1.607E-08
   6  1.286E+04  1.095E-08
   6  1.480E+04  7.443E-09
   6  1.700E+04  5.072E-09
   6  1.956E+04  3.447E-09
   6  2.249E+04  2.346E-09
   6  2.585E+04  1.598E-09
   6  2.972E+04  1.087E-09
   6  3.418E+04  7.394E-10
   6  3.930E+04  5.029E-10
   6  4.518E+04  3.423E-10
   6  5.195E+04  2.329E-10
   6  5.972E+04  1.585E-10
   6  6.866E+04  1.078E-10
   6  7.895E+04  7.337E-11
   6  9.078E+04  4.991E-11
   6  1.044E+05  3.397E-11
   6  1.200E+05  2.311E-11
   7  1.400E-01  8.344E-02
   7  1.610E-01  9.381E-02
   7  1.851E-01  1.051E-01
   7  2.128E-01  1.174E-01
   7  2.447E-01  1.307E-01
   7  2.813E-01  1.448E-01
   7  3.234E-01  1.598E-01
   7  3.718E-01  1.755E-01
   7  4.276E-01  1.917E-01
   7  4.915E-01  2.082E-01
   7  5.652E-01  2.247E-01
   7  6.499E-01  2.408E-01
   7  7.472E-01  2.563E-01
   7  8.590E-01  2.708E-01
   7  9.877E-01  2.837E-01
   7  1.136E+00  2.948E-01
   7  1.306E+00  3.036E-01
   7  1.501E+00  3.098E-01
   7  1.726E+00  3.130E-01
   7  1.984E+00  3.132E-01
   7  2.282E+00  3.100E-01
   7  2.624E+00  3.035E-01
   7  3.016E+00  2.939E-01
   7  3.468E+00  2.811E-01
   7  3.987E+00  2.657E-01
   7  4.585E+00  2.479E-01
   7  5.271E+00  2.283E-01
   7  6.061E+00  2.074E-01
   7  6.968E+00  1.859E-01
   7  8.011E+00  1.641E-01
   7  9.211E+00  1.428E-01
   7  1.059E+01  1.224E-01
   7  1.218E+01  1.034E-01
   7  1.400E+01  8.603E-02
   7  1.610E+01  7.048E-02
   7  1.851E+01  5.692E-02
   7  2.128E+01  4.529E-02
   7  2.447E+01  3.552E-02
   7  2.813E+01  2.751E-02
   7  3.234E+01  2.102E-02
   7  3.718E+01  1.586E-02
   7  4.276E+01  1.183E-02
   7  4.915E+01  8.726E-03
   7  5.652E+01  6.372E-03
   7  6.499E+01  4.609E-03
   7  7.472E+01  3.307E-03
   7  8.590E+01  2.354E-03
   7  9.877E+01  1.663E-03
   7  1.136E+02  1.168E-03
   7  1.306E+02  8.156E-04
   7  1.501E+02  5.668E-04
   7  1.726E+02  3.915E-04
   7  1.984E+02  2.699E-04
   7  2.282E+02  1.849E-04
   7  2.624E+02  1.264E-04
   7  3.016E+02  8.628E-05
   7  3.468E+02  5.865E-05
   7  3.987E+02  3.980E-05
   7  4.585E+02  2.694E-05
   7  5.271E+02  1.822E-05
   7  6.061E+02  1.230E-05
   7  6.968E+02  8.294E-06
   7  8.011E+02  5.586E-06
   7  9.211E+02  3.758E-06
   7  1.059E+03  2.525E-06
   7  1.218E+03  1.696E-06
   7  1.400E+03  1.138E-06
   7  1.610E+03  7.631E-07
   7  1.851E+03  5.119E-07
   7  2.128E+03  3.430E-07
   7  2.447E+03  2.296E-07
   7  2.813E+03  1.539E-07
   7  3.234E+03  1.030E-07
   7  3.718E+03  6.895E-08
   7  4.276E+03  4.613E-08
   7  4.915E+03  3.087E-08
   7  5.652E+03  2.064E-08
   7  6.499E+03  1.380E-08
   7  7.472E+03  9.230E-09
   7  8.590E+03  6.172E-09
   7  9.877E+03  4.126E-09
   7  1.136E+04  2.759E-09
   7  1.306E+04  1.844E-09
   7  1.501E+04  1.233E-09
   7  1.726E+04  8.234E-10
   7  1.984E+04  5.510E-10
   7  2.282E+04  3.677E-10
   7  2.624E+04  2.458E-10
   7  3.016E+04  1.644E-10
   7  3.468E+04  1.098E-10
   7  3.987E+04  7.337E-11
   7  4.585E+04  4.900E-11
   7  5.271E+04  3.275E-11
   7  6.061E+04  2.188E-11
   7  6.968E+04  1.462E-11
   7  8.011E+04  9.773E-12
   7  9.211E+04  6.530E-12
   7  1.059E+05  4.362E-12
   7  1.218E+05  2.915E-12
   7  1.400E+05  1.947E-12
   8  1.600E-01  3.069E-01
   8  1.840E-01  3.439E-01
   8  2.115E-01  3.839E-01
   8  2.432E-01  4.271E-01
   8  2.797E-01  4.731E-01
   8  3.214E-01  5.216E-01
   8  3.696E-01  5.723E-01
   8  4.250E-01  6.244E-01
   8  4.886E-01  6.773E-01
   8  5.618E-01  7.298E-01
   8  6.459E-01  7.812E-01
   8  7.427E-01  8.300E-01
   8  8.539E-01  8.749E-01
   8  9.818E-01  9.148E-01
   8  1.129E+00  9.483E-01
   8  1.298E+00  9.743E-01
   8  1.492E+00  9.917E-01
   8  1.715E+00  9.997E-01
   8  1.973E+00  9.979E-01
   8  2.267E+00  9.861E-01
   8  2.608E+00  9.641E-01
   8  2.998E+00  9.327E-01
   8  3.446E+00  8.925E-01
   8  3.963E+00  8.444E-01
   8  4.557E+00  7.898E-01
   8  5.240E+00  7.300E-01
   8  6.024E+00  6.668E-01
   8  6.926E+00  6.015E-01
   8  7.963E+00  5.359E-01
   8  9.155E+00  4.714E-01
   8  1.053E+01  4.092E-01
   8  1.210E+01  3.506E-01
   8  1.392E+01  2.965E-01
   8  1.600E+01  2.475E-01
   8  1.840E+01  2.038E-01
   8  2.115E+01  1.657E-01
   8  2.432E+01  1.330E-01
   8  2.797E+01  1.054E-01
   8  3.214E+01  8.265E-02
   8  3.696E+01  6.401E-02
   8  4.250E+01  4.903E-02
   8  4.886E+01  3.717E-02
   8  5.618E+01  2.792E-02
   8  6.459E+01  2.078E-02
   8  7.427E+01  1.533E-02
   8  8.539E+01  1.123E-02
   8  9.818E+01  8.164E-03
   8  1.129E+02  5.899E-03
   8  1.298E+02  4.238E-03
   8  1.492E+02  3.028E-03
   8  1.715E+02  2.155E-03
   8  1.973E+02  1.524E-03
   8  2.267E+02  1.077E-03
   8  2.608E+02  7.561E-04
   8  2.998E+02  5.301E-04
